left_elbow,right_elbow,avg_elbow,hip_angle,label
160.90290873262688,169.29988809249576,165.1013984125613,134.53797325099927,1
164.7956365981458,169.9411813267294,167.3684089624376,134.44216158270748,1
165.1872521161021,170.32788735170908,167.7575697339056,134.94023081469527,1
165.4930281835413,170.4520813878845,167.9725547857129,135.41578444739932,1
167.332287321047,170.61659298680812,168.97444015392756,137.61738178689436,1
167.47693227572603,170.6543490617479,169.06564066873696,138.86169540353714,1
167.64795992079704,170.7634720437192,169.2057159822581,139.70478242273137,1
168.57761542718092,170.73488903865825,169.6562522329196,141.90087044794353,1
168.66904205237833,170.7592816274673,169.7141618399228,145.62806779437435,1
169.21348618527898,170.67782949877363,169.94565784202632,148.18334436247662,1
167.94983501879952,170.6849372622795,169.3173861405395,149.68445849163086,1
168.32575166001732,170.83635064760833,169.58105115381284,151.09704037644266,1
169.14317529013948,170.8085669174268,169.97587110378313,150.46273669177293,1
169.23417856443925,170.94088177725013,170.08753017084467,149.92338521505346,1
169.15164002945596,171.13355036171663,170.1425951955863,149.69294364059144,1
168.72948815601745,171.21117211895412,169.9703301374858,150.15540453567556,1
167.93213538169618,171.11763398744478,169.52488468457048,151.06426990445473,1
166.72927760367295,171.09005878978067,168.9096681967268,151.52396122498732,1
166.1020651094514,171.03732240004487,168.56969375474813,152.19979709240434,1
165.72796349087722,170.61648672176753,168.17222510632237,152.67192077165168,1
163.49306842167474,170.00718281691388,166.7501256192943,151.58558459264543,1
162.09273932409056,169.58328846121012,165.83801389265034,151.68419555418782,1
163.73079546949984,168.4358589090707,166.08332718928528,154.28717509386115,1
172.41191663495414,165.6778103901693,169.04486351256173,154.02136987224694,1
178.94373864814838,162.955077142813,170.9494078954807,157.748495140708,1
178.82711470889106,160.49976839525743,169.66344155207423,156.97032977164847,1
121.57209092274307,158.12292241022215,139.84750666648262,159.18129720708012,1
132.3916658803965,156.12173241703402,144.25669914871526,161.8723561809993,1
83.90980920622493,154.32216392964907,119.115986567937,161.61044289642683,1
65.76870136072166,152.00612079401432,108.887411077368,164.02410096836715,1
50.31957320850214,152.0725635099921,101.19606835924712,166.11501660833815,1
39.52540163736254,147.00034099386573,93.26287131561413,166.55261099595862,1
35.995741758989354,148.0878350745995,92.04178841679442,171.15689089712814,1
33.33713197218429,146.14375504268662,89.74044350743546,170.31929201130188,1
30.426739335111076,145.04812731191703,87.73743332351405,169.79594365278302,1
30.774023793070352,147.66643909787612,89.22023144547323,170.6384939308698,1
33.32598702025014,144.75572405838835,89.04085553931924,170.59323980050814,1
34.1600552486106,146.55180656171117,90.35593090516089,170.5345825630974,1
37.74059359677565,147.83688672293056,92.7887401598531,170.07470449291557,1
42.16809301545114,142.88562886595616,92.52686094070366,170.29265921917658,1
104.7458966884054,146.42858612633358,125.58724140736949,169.25494878239445,1
165.7265713151724,149.44170677399885,157.58413904458564,169.3506117107671,1
171.72888382507395,152.2301112545177,161.97949753979583,168.60043514784203,1
179.54930170639906,154.34401895665965,166.94666033152936,167.68740487044215,1
20.15709791738944,157.29510152575543,88.72609972157244,168.84544396303923,1
108.97048976900834,158.4713194049596,133.72090458698398,168.619894681497,1
148.43840383090836,159.71534210043367,154.07687296567101,168.20578619987478,1
172.73252058749438,162.21457178374456,167.47354618561945,170.7707230986013,1
176.16331078072196,165.04932821117154,170.60631949594676,174.14253495579067,1
177.71431166117648,167.48038301426854,172.5973473377225,175.7365417248535,1
177.73727461624566,168.7160316116614,173.22665311395355,174.52207440679024,1
176.40918274222673,170.0344460965176,173.22181441937215,173.36136568757593,1
162.61848259444136,172.03461243787626,167.32654751615883,173.63044335733449,1
159.85788243269687,173.23502574203687,166.54645408736687,174.0093635999033,1
161.45447623888236,174.47681236742716,167.96564430315476,173.58421879037465,1
159.30337796147737,174.3601242765724,166.8317511190249,173.06108915441575,1
159.6013461560939,174.2741883214184,166.93776723875615,172.91158801607526,1
159.5778022706582,174.2580239995852,166.9179131351217,172.65643130788612,1
157.97290950486627,174.14123565607446,166.05707258047036,172.37775169895804,1
157.9551493552057,174.0223382728714,165.98874381403854,172.28769008569776,1
158.14007515022868,173.9689058650279,166.0544905076283,172.04813687462772,1
179.48858872721834,171.05089096755967,175.26973984738902,170.47463200176554,1
177.96043845569488,173.84964419174852,175.90504132372172,171.4269619149288,1
178.1652964364539,173.69779244740425,175.93154444192908,169.9557276944588,1
176.10872831541676,173.98243946733456,175.04558389137566,169.6415475318816,1
175.41200144296357,173.79457774911484,174.6032895960392,169.18144335319036,1
174.70084267462687,173.67439276137623,174.18761771800155,169.17773446124443,1
174.1898237103947,173.37781845735373,173.78382108387422,168.15644130023588,1
174.29822351536228,173.42986507282524,173.86404429409376,167.59717806428137,1
174.1434702255495,173.34590085141036,173.74468553847993,167.06625832931798,1
173.83123596795377,173.37510043237702,173.60316820016538,166.6458498199583,1
173.70104084355916,173.23376220820484,173.467401525882,166.57437453077708,1
173.52550093979494,173.12750820074822,173.3265045702716,166.71798222578508,1
173.46520817536893,173.11443268150748,173.2898204284382,166.75986813998634,1
173.48095774279017,173.18141962360468,173.3311886831974,166.71739078457236,1
173.6500589729071,173.38289426890452,173.5164766209058,166.77257122805514,1
174.01169571513225,173.6497234628865,173.83070958900936,166.63258673574887,1
174.03348201361194,173.80355526119126,173.9185186374016,166.59576933680134,1
174.28977195003006,174.1547952585093,174.22228360426968,166.36947742973283,1
175.00188249302386,174.12176794878653,174.56182522090518,165.6632013123323,1
175.28498255953753,173.97267895520324,174.6288307573704,164.66275002509147,1
177.65588693521337,176.6600565274881,177.15797173135076,167.09212567911896,1
178.3597893537942,177.26403351727686,177.81191143553554,168.42795036236996,1
178.83908850139912,177.51847618757876,178.17878234448892,169.26044864749284,1
